stone_id,name,runic,transliteration,translation,page_url,image_url,image_filename
U 312,"U 312 - Uppland: Harg, Skånela",,kunar ' sun ' farulfs ' lit ' kiara ' mirki ' fr sial ' iufurfast ' stiubu ' sin ' totur hulmtis,"Gunnar, Farulfs son, lät göra minnesmärket för Juvurfasts själ, sin styvdotters, Holmdis dotter",https://www.christerhamp.se/runor/gamla/u1/u312.html,https://www.christerhamp.se/runor/gamla/u1/u312s.jpg,1081_U_312_U_312___Uppland__Harg__Skånela.jpg
U 313,"U 313 - Uppland: Harg, Skånela",,kunar lit hkua * stain * eftiR iafa=ur=k=ut=fast * a=s=bt=uiubu sina * auk hulmtis eftiR totur sina,"Gunnar lät hugga stenen efter Juvurfast, sin styvdotter, och Holmdis efter sin dotter",https://www.christerhamp.se/runor/gamla/u1/u313.html,https://www.christerhamp.se/runor/gamla/u1/u313s.jpg,1082_U_313_U_313___Uppland__Harg__Skånela.jpg
U 316,"U 316 - Uppland: Harg, Skånela",,þorþr ' a bro,Tord äger bron,https://www.christerhamp.se/runor/gamla/u1/u316.html,https://www.christerhamp.se/runor/gamla/u1/u316s.jpg,1083_U_316_U_316___Uppland__Harg__Skånela.jpg
U 318,"U 318 - Uppland: Harg, Skånela",,burkuna * lit * stain * hku- * iftiR * kulaif * bonta * sin * auk * askir * ift-(R) fn-ur sin,"Borgunna lät hugga stenen efter Gullev, sin man, och Åsgärd efter sin fader",https://www.christerhamp.se/runor/gamla/u1/u318.html,https://www.christerhamp.se/runor/gamla/u1/u318s.jpg,1084_U_318_U_318___Uppland__Harg__Skånela.jpg
U 319,U 319 - Uppland: Kimsta,,[kitilui * auk * kiau þau * risþi * stin] * þinsi * if[tiR] * iusti[n * -- *] n[-]...hunt ihlbi * (k)[uþ * aon * hiti u]isa iftiR * iufur * i[arþn]n,Kättilvi och Kättil de reste denna sten efter Josten ... Gud hjälpe ... resa efter Jovur ...,https://www.christerhamp.se/runor/gamla/u1/u319.html,https://www.christerhamp.se/runor/gamla/u1/u319s.jpg,1085_U_319_U_319___Uppland__Kimsta.jpg
U 321,U 321 - Uppland: Skalmsta,ᚢᛁᛏᛅᚾ ᛫ ᛚᛁᛏ ᛫ ᚱᛅᛁᛋᛅ ᛫ ᛋᛏᛅᛁᚾ ᛫ ᚦᛁᚾᛋᛅ ᛫ ᛂᚠᛏᛁᛦ ᛫ ᛋᚢᚾ ᛋᛁᚾ ᛅᚢᚴ ᛫ ᚴᛅᚱᛚ ᛫ ᛂᚠᛏᛁᛦ ᛫ ᛒᚱᚭᚦᚢᚱ ᛫ ᛋᛁᚾ ᛋᛁᚢᛏᛅᛋᛁᚱᛁᚾ ᛫ ᛘᛅᚱᚾᚢ ᛫ ᛘᛅᚦᛋᛁ ᛫ ᛂᚠᛏᛁᛦ ᛫ ᚢᛏᚢᛚᚠ,"uitan · lit · raisa · stain · þinsa · eftiR · sun sin -uk · karl · eftiR · broþur · sin siuta sirin · marnu · maþsi · eftiR · utulf
suain risti · runaR · þisaR",Uitan lät resa denna sten efter sin son och Karl efter sin broder. Sven ristade dessa runor efter Uddulv.,https://www.christerhamp.se/runor/gamla/u1/u321.html,https://www.christerhamp.se/runor/gamla/u1/u321s.jpg,1086_U_321_U_321___Uppland__Skalmsta.jpg
U 322,U 322 - Uppland: Stensta,,þiuþburh ' ulit rita stin ' þina ibtiR [+ nibiaR + ...i + uibiast]... --a-bi an hos,Tjudborg lät resa denna sten efter ... hjälpe hans ande,https://www.christerhamp.se/runor/gamla/u1/u322.html,https://www.christerhamp.se/runor/gamla/u1/u322s.jpg,1087_U_322_U_322___Uppland__Stensta.jpg
U 323,"U 323 - Uppland: Sälna, Skånela",,× iystin × auk × iuruntr × auk × biurn × þiR [× byryþr × risþu] ... ...stin × trums × f[aþur] × sin × kuþ × ihlbi × ons × ont × auk × selu + fur+kifi × onum × sakaR × auk × sutiR × × hi × mun × ligia × meþ + altr + lifiR × bru × hrþ×slagin × briþ × e[ft × k]uþ-- suenaR k[arþu ×] at × sin × faþur × mo × igi × brutaR×kuml × betra × uerþa +,"Östen och Jorund och Björn, de bröderna reste denna sten efter ...sten drums, sin fader. Gud hjälpe hans ande och själ, förlåt honom brott och synder. Alltid ska ligga, medan människor finns bron hårdslagen, bred, efter den gode. Svenner gjorde den efter sin fader. Ej kan en bättre vägvård bliva.",https://www.christerhamp.se/runor/gamla/u1/u323.html,https://www.christerhamp.se/runor/gamla/u1/u323s.jpg,1088_U_323_U_323___Uppland__Sälna__Skånela.jpg
U 324,U 324 - Uppland: Tjusta,,[uk]ulfR × ri[s-i × st--] × þina ----R × ...rf × bruþur × sin × huk × gyriR × iftiR × sun sin × kuþan × an × uarþ × tr... ...,"... -ulv reste denna sten efter ... sin broder, och Gyrid efter sin gode son. Han blev dräpt ...",https://www.christerhamp.se/runor/gamla/u1/u324.html,https://www.christerhamp.se/runor/gamla/u1/u324s.jpg,1089_U_324_U_324___Uppland__Tjusta.jpg
U 325,U 325 - Uppland: Markims kyrka,,× þilinifr × auk × þu(r)... ... (s)tain × iftiR fraistain × faþur sin auk × u(i)f... at × mah sin,"þilinifr och Tor ... stenen efter Frösten, sin fader, och Vi... efter sin frände",https://www.christerhamp.se/runor/gamla/u1/u325.html,https://www.christerhamp.se/runor/gamla/u1/u325s.jpg,1090_U_325_U_325___Uppland__Markims_kyrka.jpg
U 326,U 326 - Uppland: Husby,,[hulm]kir × auk × sikruþr × þaiR × ristu × stina × þisi × eftiR × suin × sun × sin × siþ×bu[rin],"Holmgärd och Sigröd de reste dessa stenar efter Sven, sin son, sent född",https://www.christerhamp.se/runor/gamla/u1/u326.html,https://www.christerhamp.se/runor/gamla/u1/u326s.jpg,1091_U_326_U_326___Uppland__Husby.jpg
U 329,"U 329 - Uppland: Snottsta, Markim",,× inka × lit × raisa × staina × þasi × eftiR × raknfast × bonta × sin × han × uaR × broþiR × kuriþaR × auk × estriþaR ×,"Inga lät resa dessa stenar efter Ragnfast, sin man. Han var broder tilll Gyrid och Estrid",https://www.christerhamp.se/runor/gamla/u1/u329.html,https://www.christerhamp.se/runor/gamla/u1/u329s.jpg,1092_U_329_U_329___Uppland__Snottsta__Markim.jpg
U 330,"U 330 - Uppland: Snottsta, Markim",,× inka × lit × raisa × staina × auk × bro × kiara × eftiR × raknfast × bont×a sin × asur × uaR × huskarl × hans ×,"Inga lät resa stenarna och göra bron efter Ragnfast, sin man. Assur var hans huskarl.",https://www.christerhamp.se/runor/gamla/u1/u330.html,https://www.christerhamp.se/runor/gamla/u1/u330s.jpg,1093_U_330_U_330___Uppland__Snottsta__Markim.jpg
U 331,"U 331 - Uppland: Snottsta, Markim",,× inka × lit × rista × runaR × eftiR × raknfast × bonta × sin + han × at[i +] ain ×× by × þina × eftiR × sikfast × faþur × sin × kuþ × hialbi × ant þaiRa ×,"Inga lät rista runorna efter Ragnfast, sin man. Han ägde ensam denna by efter Sigfast, sin fader. Gud hjälpe deras själar.",https://www.christerhamp.se/runor/gamla/u1/u331.html,https://www.christerhamp.se/runor/gamla/u1/u331s.jpg,1094_U_331_U_331___Uppland__Snottsta__Markim.jpg
U 333,U 333 - Uppland: Orkesta kyrka,,usnekin ' uk ' sikne(o)t ' uk ' sihuiþ(r) ' lata ' reis(a) s(t)iin ' eft[R '] b[r](u)s(a) ' faþur sin,"Osniken och Signjut och Sigvid låter resa stenen efter Bruse, sin fader",https://www.christerhamp.se/runor/gamla/u1/u333.html,https://www.christerhamp.se/runor/gamla/u1/u333s.jpg,1095_U_333_U_333___Uppland__Orkesta_kyrka.jpg
